table_id,section,claim_supported,source_phase,source_artifact,source_columns_or_keys,frozen_value,transformation_allowed,notes
TABLE_1_DESIGN,SWE row,CLAIM_P + study design,0B (dataset freeze);0D protocol,outputs/late_reversal_early_eval_phase0b_signal_hunt/PROTOCOL.md,"dataset freeze section (raw trajectories, adapter PASS/FAIL, step rows, prefix rows)",5000 raw; 4989 adapter PASS; 11 adapter FAIL,transcribe only,no rounding or collapsing
TABLE_1_DESIGN,SWE row,study design,1A protocol,outputs/earlyeval_phase1a_same_predictor_transfer/PROTOCOL.md,fold protocol (leave-one-model-out over 10 labels; leave-two-agents-out pair folds),10 model labels; 500 shared tasks,transcribe only,split/control description only
TABLE_1_DESIGN,TerminalBench row,study design,2A,outputs/earlyeval_phase2a_terminalbench_coverage/PHASE2A_REPORT.md,"DATASET section (rows, usable rows, tasks, models, scaffolds, combos, steps)",52104 rows; 34462 usable; 89 tasks; 49 models (33 usable); 26 scaffolds (9 usable); 109 combos (70 usable),transcribe only,dataset-level counts; must stay separate from the Phase 2B analysis universe
TABLE_1_DESIGN,TerminalBench row,study design,2B,outputs/earlyeval_phase2b_terminalbench_fixed_scaffold/PHASE2B_REPORT.md,eligible models; usable trajectories; folds,29 terminus-2 models; 15889 usable trajectories; 29/29 folds,transcribe only,Phase 2B analysis-universe counts; must not be merged with the dataset-level row
TABLE_2_PRIMARY_TARGETS,gpt-5-mini / SUCCESS / eligible_same_predictor_occurrences,CLAIM_P; S2; S3,1A;1A-D;1B,outputs/earlyeval_phase1a_same_predictor_transfer/analysis/target_persistence.csv,eligible_occurrences,9,transcribe only,Phase 1A-D bootstrap intervals are used for the persistence columns; Phase 1B intervals are used only for the threshold column and must not be mixed into them
TABLE_2_PRIMARY_TARGETS,gpt-5-mini / SUCCESS / pair_folds_in_scope,CLAIM_P; S2; S3,1A;1A-D;1B,outputs/earlyeval_phase1a_same_predictor_transfer/analysis/target_persistence.csv,pair_folds_in_scope,9,transcribe only,Phase 1A-D bootstrap intervals are used for the persistence columns; Phase 1B intervals are used only for the threshold column and must not be mixed into them
TABLE_2_PRIMARY_TARGETS,gpt-5-mini / SUCCESS / excluded_below_decision_minimum,CLAIM_P; S2; S3,1A;1A-D;1B,outputs/earlyeval_phase1a_same_predictor_transfer/analysis/target_persistence.csv,excluded_pairs_below_decision_minimum,0,transcribe only,Phase 1A-D bootstrap intervals are used for the persistence columns; Phase 1B intervals are used only for the threshold column and must not be mixed into them
TABLE_2_PRIMARY_TARGETS,gpt-5-mini / SUCCESS / excluded_prior_degenerate,CLAIM_P; S2; S3,1A;1A-D;1B,outputs/earlyeval_phase1a_same_predictor_transfer/analysis/target_persistence.csv,excluded_pairs_prior_degenerate,0,transcribe only,Phase 1A-D bootstrap intervals are used for the persistence columns; Phase 1B intervals are used only for the threshold column and must not be mixed into them
TABLE_2_PRIMARY_TARGETS,gpt-5-mini / SUCCESS / median_corrected_gap,CLAIM_P; S2; S3,1A;1A-D;1B,outputs/earlyeval_phase1a_same_predictor_transfer/analysis/target_persistence.csv,median_signed_corrected_gap,0.1377462284504496,transcribe only,Phase 1A-D bootstrap intervals are used for the persistence columns; Phase 1B intervals are used only for the threshold column and must not be mixed into them
TABLE_2_PRIMARY_TARGETS,gpt-5-mini / SUCCESS / same_sign_fraction,CLAIM_P; S2; S3,1A;1A-D;1B,outputs/earlyeval_phase1a_same_predictor_transfer/analysis/target_persistence.csv,same_sign_fraction,1.0 (9/9),transcribe only,Phase 1A-D bootstrap intervals are used for the persistence columns; Phase 1B intervals are used only for the threshold column and must not be mixed into them
