model_id,head,decisions,correct,empirical_precision,mean_decision_score,calibration_gap,absolute_calibration_gap,denominator_ge_20,large_gap_ge_0.10
claude-4.5-haiku-high,success,300,275,0.9166666666666666,0.968474805355072,0.05180813868840539,0.05180813868840539,True,False
claude-4.5-haiku-high,failure,44,43,0.9772727272727273,0.9587976336479187,-0.018475093624808592,0.018475093624808592,True,False
claude-4.5-opus-high,success,223,221,0.9910313901345291,0.9641876220703125,-0.026843768064216622,0.026843768064216622,True,False
claude-4.5-opus-high,failure,61,52,0.8524590163934426,0.9673830270767212,0.11492401068327862,0.11492401068327862,True,True
claude-opus-4.6,success,208,200,0.9615384615384616,0.9673545360565186,0.005816074518056991,0.005816074518056991,True,False
claude-opus-4.6,failure,41,35,0.8536585365853658,0.9646234512329102,0.11096491464754432,0.11096491464754432,True,True
gemini-3-flash-high,success,275,267,0.9709090909090909,0.9682873487472534,-0.002621742161837526,0.002621742161837526,True,False
gemini-3-flash-high,failure,14,14,1.0,0.9564933776855469,-0.043506622314453125,0.043506622314453125,False,False
gemini-3-pro,success,258,258,1.0,0.9645060896873474,-0.03549391031265259,0.03549391031265259,True,False
gemini-3-pro,failure,25,0,0.0,0.9582048058509827,0.9582048058509827,0.9582048058509827,True,True
glm-5-high,success,289,276,0.9550173010380623,0.9673382639884949,0.012320962950432612,0.012320962950432612,True,False
glm-5-high,failure,24,22,0.9166666666666666,0.958378255367279,0.04171158870061242,0.04171158870061242,True,False
gpt-5-mini,success,235,184,0.7829787234042553,0.9693534970283508,0.1863747736240955,0.1863747736240955,True,True
gpt-5-mini,failure,26,25,0.9615384615384616,0.9599733948707581,-0.0015650666677035074,0.0015650666677035074,True,False
gpt-5.2-codex,success,224,218,0.9732142857142857,0.9643172025680542,-0.0088970831462315,0.0088970831462315,True,False
gpt-5.2-codex,failure,46,45,0.9782608695652174,0.9583874344825745,-0.019873435082642943,0.019873435082642943,True,False
gpt-5.2-high,success,239,227,0.9497907949790795,0.9625974297523499,0.012806634773270376,0.012806634773270376,True,False
gpt-5.2-high,failure,37,34,0.918918918918919,0.9588673710823059,0.03994845216338694,0.03994845216338694,True,False
minimax-m2.5-high,success,214,207,0.9672897196261683,0.9604884386062622,-0.006801281019906069,0.006801281019906069,True,False
minimax-m2.5-high,failure,39,35,0.8974358974358975,0.9575921297073364,0.06015623227143896,0.06015623227143896,True,False
