claim_id,claim_text,claim_level,supporting_phase,supporting_artifact,observed_fact,interpretation,boundary,main_text_or_appendix
CLAIM_P,"Within the frozen SWE-bench Verified setting, specific unseen agent/head combinations exhibit persistent calibration-transfer error across multiple training cohorts, task resampling, oracle prior correction, and stopping thresholds.",PRIMARY,0D;0E;1A;1A-D;1B,earlyeval_phase1a_d_target_persistence/PHASE1A_D_REPORT.md; earlyeval_phase1b_threshold_robustness/PHASE1B_REPORT.md,"1A-D TARGET_1 gpt-5-mini/success baseline 0.1377462284504496 CI [0.11681530181196477,0.15944975771607114] ROBUST True; TARGET_2 claude-opus-4.6/failure 0.11073740121815578 CI [0.05100413519648092,0.14856491377866127] ROBUST True; 1B 4/4 and 3/4 thresholds robust; 0E corrected gaps 0.1423 and 0.1053","The two cells' transfer error is stable across cohorts, resampling, prior correction and thresholds",single benchmark; two target cells,main
S1,Broad same-predictor pairwise heterogeneity was not supported by Phase 1A.,SECONDARY,1A,earlyeval_phase1a_same_predictor_transfer/PHASE1A_REPORT.md,"success median pairwise corrected-gap difference 0.018042209495525263 CI [0.016884658052910777,0.030140357676879663] 45 pairs gate False; failure 0.03851135966145047 CI [0.03181737446762412,0.06399701826303028] 35 pairs gate False; 45/45 folds 0 failed",The predictor is not isolated pairwise across agents,same benchmark and predictor family,main
S2,Two frozen target/head combinations showed persistent residual calibration-transfer error: gpt-5-mini/SUCCESS and claude-opus-4.6/FAILURE.,SECONDARY,1A;1A-D,earlyeval_phase1a_same_predictor_transfer/PHASE1A_REPORT.md; earlyeval_phase1a_d_target_persistence/PHASE1A_D_REPORT.md,"Phase 1A persistent cells ['claude-opus-4.6/failure','gpt-5-mini/success']; 1A-D occurrences 9 and 8 with same-sign fraction 1.0; sensitivity cell minimax-m2.5-high/failure 0.07854985853616758 ROBUST False",Failure is concentrated in two cells rather than uniform,two cells; SWE-bench Verified only,main
S3,"The two targets' persistence survived changing training cohorts, oracle prior correction, task-cluster bootstrap, task-half validation, partner-fold jackknife, and multiple stopping thresholds.",SECONDARY,0E;1A;1A-D;1B,earlyeval_phase0e_prior_shift_decomposition/PHASE0E_REPORT.md; earlyeval_phase1a_d_target_persistence/PHASE1A_D_REPORT.md; earlyeval_phase1b_threshold_robustness/PHASE1B_REPORT.md,cohorts 45/45 folds; 0E corrected 0.1423 and 0.1053; 1A-D HALF_A/HALF_B 0.11767970623031776/0.14894173870245364 and 0.08688594138784889/0.11354561216502507 sign retained; jackknife min abs 0.13617040153017057 and 0.11039703482593621; 1B 4/4 and 3/4 robust,The errors behave as stable features of the frozen setting rather than sampling noise,all controls are within-benchmark; TARGET_2 threshold robustness 3/4,main
S4,The TerminalBench fixed-scaffold replication did not satisfy the preregistered cross-benchmark gate.,SECONDARY,2B;2B-D,earlyeval_phase2b_terminalbench_fixed_scaffold/PHASE2B_REPORT.md; earlyeval_phase2b_d_threshold_diagnostic/PHASE2B_D_REPORT.md,"2B terminus-2 29 eligible models 29/29 folds 0 failed; success head 1 eligible target median abs gap 0.0154; failure head 27 eligible median 0.0102 max 0.1062 range 0.1831; single robust row gemini-3-pro-preview@gemini/failure gap -0.1062 CI [-0.1144,-0.0986]; TERMINAL_TARGET_SPECIFIC_SIGNAL False; 2B-D anchor reproduced 15889 rows 3784 decided 0 mismatches THRESHOLD_SIGNAL 1 of 3",Under a fixed scaffold the SWE target-specific signal does not carry to TerminalBench,one fixed scaffold; success-head denominator limited,main
S5,Exact-model comparison did not establish persistence of the SWE target-specific phenotype on TerminalBench.,SECONDARY,2E,earlyeval_phase2e_exact_target_cross_benchmark/PHASE2E_REPORT.md,"identities CONFIRMED (SWE gpt-5-mini openai/gpt-5-mini 500/500 files <-> TB gpt-5-mini@openai; SWE claude-opus-4.6 anthropic/claude-opus-4-6 500/500 <-> TB claude-opus-4-6@anthropic); TARGET_1 SWE 1860 decisions precision 0.776882 gap +0.137746 CI [0.117549,0.159854] vs TB 0 decisions INDETERMINATE; TARGET_2 SWE 289 decisions precision 0.854671 gap +0.110737 CI [0.051047,0.146200] vs TB 45 decisions gap +0.061967 CI [-0.109359,0.256278] 14 tasks UNCLASSIFIED_BY_SPEC treated as not persistent","At pinned identity, TerminalBench has zero decisions for one target and too few for the other",success-head denominator limitation unchanged; TARGET_2 result is a recorded deviation,main
N01,"Early-decision counts on the frozen SWE corpus: 2822 early decisions (2333 correct-success, 305 correct-failure, 132 false-success, 52 false-failure, 2167 no-stop).",NUMERIC_ANCHOR,0B,late_reversal_early_eval_phase0b_signal_hunt/SIGNAL_REPORT.md,N_EARLY_DECISIONS 2822; CORRECT_SUCCESS 2333; CORRECT_FAILURE 305; FALSE_SUCCESS 132; FALSE_FAILURE 52; NO_STOP 2167; 5000 raw trajectories 4989 adapter-pass; 10 LOMO folds 10/10,An early-decision error signal exists at the frozen 0.95/0.95 thresholds; gate GO_CANDIDATE,"descriptive, single corpus",appendix
N02,Late-recovery and late-collapse signature rates: 46/52 = 0.8846153846153846 and 112/132 = 0.8484848484848485.,NUMERIC_ANCHOR,0B,late_reversal_early_eval_phase0b_signal_hunt/SIGNAL_REPORT.md,FF_LATE_RECOVERY_SIGNATURE 46/52 = 0.8846153846153846; FS_LATE_COLLAPSE_SIGNATURE 112/132 = 0.8484848484848485,Candidate post-stop structure worth a controlled test,not robust after controls (see N03),appendix
N03,Phase 0C controls did not confirm the late-reversal structure: OVERALL = SIGNAL_NOT_YET_ROBUST.,NEGATIVE,0C,late_reversal_early_eval_phase0c/PHASE0C_REPORT.md,"success-decision precision 0.9465; failure-decision precision 0.8543; difference 0.0921 95% task-cluster CI [0.0595,0.1289]; FS standardized RD -0.0034 CI [-0.0593,0.0483]; FF standardized RD 0.0782 CI [-0.1006,0.2406]; FS_ENRICHED False; FF_ENRICHED False",The late-reversal hypothesis was dropped and the program redirected to cross-agent calibration,negative result; retained as negative,appendix
N04,"Phase 0D held-out audit: success-head precision range 0.2170 CI [0.1660,0.2709]; pooled success gap 0.0194; pooled failure gap 0.1063; 4 large-gap cells.",NUMERIC_ANCHOR,0D,earlyeval_phase0d_cross_agent_calibration/PHASE0D_REPORT.md,"10 held-out models; large-gap cells claude-4.5-opus-high/failure 0.1149 (61 decisions), claude-opus-4.6/failure 0.1110 (41), gemini-3-pro/failure 0.9582 (25, degenerate 0/25), gpt-5-mini/success 0.1864 (235); failure-head range 1.0000 degenerate, 0.1475 excluding gemini-3-pro CI [0.1094,0.2727]; success rho -0.7915 CI [-0.9605,-0.5897]; failure rho 0.6442 CI [0.2917,0.8283]; HETEROGENEITY_SIGNAL True",Screening audit identifies candidate cells; the failure-head qualification is a degenerate-fold artifact,"model-level qualification, not the pairwise gate",main (4.1) + appendix
N05,Phase 0E oracle prior correction leaves three large-gap cells and substantial residual heterogeneity (OVERALL = GO).,NUMERIC_ANCHOR,0E,earlyeval_phase0e_prior_shift_decomposition/PHASE0E_REPORT.md,"corrected gaps gpt-5-mini/success 0.1423, claude-opus-4.6/failure 0.1053, claude-4.5-opus-high/failure 0.1106; pooled corrected success 0.0170 failure 0.0421; residual range success 0.1650 (raw 0.2132) failure 0.1579 (raw 0.1584); RESIDUAL_LARGE_GAP_COUNT 3; input identity max |delta| 1.11e-16; ln r (success head) gpt-5-mini -0.9433 claude-opus-4.6 0.1537 claude-4.5-opus-high 0.1288",Prior shift explains part but not all of the transfer error,oracle re-weighting of observational data; not causal identification,main (4.2)
N06,Phase 1A shared-predictor control: TARGET_SPECIFIC_PERSISTENCE = True with two persistent cells; PHASE1A_RESULT = PARTIAL_PASS.,NUMERIC_ANCHOR,1A,earlyeval_phase1a_same_predictor_transfer/PHASE1A_REPORT.md,"45/45 pair folds 0 failed; training wall-clock 6781.1 s; driver 3480.1 s; persistent cells ['claude-opus-4.6/failure','gpt-5-mini/success']",Broad heterogeneity unsupported while a small set of cells persists,pairwise control on one benchmark,main (4.3)
N07,Phase 1A-D target persistence validation: both frozen targets ROBUST True; PHASE1A_D_RESULT = STRONG_TARGET_SPECIFIC_SIGNAL.,NUMERIC_ANCHOR,1A-D,earlyeval_phase1a_d_target_persistence/PHASE1A_D_REPORT.md,"TARGET_1 9 occurrences 0.1377462284504496 CI [0.11681530181196477,0.15944975771607114] same-sign 1.0 jackknife 0.13617040153017057 HALF_A 0.11767970623031776 HALF_B 0.14894173870245364; TARGET_2 8 occurrences 0.11073740121815578 CI [0.05100413519648092,0.14856491377866127] same-sign 1.0 jackknife 0.11039703482593621 HALF_A 0.08688594138784889 HALF_B 0.11354561216502507; sensitivity minimax-m2.5-high/failure 0.07854985853616758 ROBUST False",The two cells retain sign and magnitude under every control,within-benchmark controls only,main (4.4)
N08,Phase 1B threshold robustness: anchor EXACT_MATCH and STRONG_PASS; 4/4 robust for TARGET_1 and 3/4 for TARGET_2.,NUMERIC_ANCHOR,1B,earlyeval_phase1b_threshold_robustness/PHASE1B_REPORT.md,"anchor 0.950 reproduces 44901 rows max |delta decision_score| 1.11e-16; TARGET_1 0.900 0.11251243867464988 CI [0.09536950734306153,0.12678930165704008] 0.925 0.12002521064108551 0.950 0.1377462284504496 0.975 0.16983431930551485 CI [0.12742532358923503,0.2143977896483395]; TARGET_2 0.900 0.13744058607047355 0.925 0.11604011179651463 0.950 0.1107374012181559; 0.975 has 8-16 decisions",The target-specific error is not an artifact of a single threshold,TARGET_2 not robust at 0.975 due to denominator,main (4.5) + appendix
N09,"Phase 2A TerminalBench coverage: FEASIBLE, revision 04e8940f5b6736a7ce8d22224fe2f2af74163ed2, 52104 rows, 34462 usable, 89 tasks, 49 models (33 usable), 26 scaffolds (9 usable), 109 combos (70 usable), 1622075 steps.",NUMERIC_ANCHOR,2A,earlyeval_phase2a_terminalbench_coverage/PHASE2A_REPORT.md,rows without trajectory steps 17642 (literal JSON null); license apache-2.0; success/failure raw 20649/31455; usable-subset 11079/23383; distinct non-empty trial ids 22598,The second benchmark supports a fixed-scaffold boundary test,community-compiled trajectory source; partial provenance overlap,appendix
