visual_id,panel,claim_supported,source_phase,source_artifact,source_columns_or_keys,frozen_value,transformation_allowed,notes
FIGURE_1_STUDY_OVERVIEW,A,claim P (study design),study design,n/a (schematic),none,no numeric values,none (schematic; no numeric values),schematic only; must not display headline numbers
FIGURE_1_STUDY_OVERVIEW,B,claim P (study design),0D/1A protocol,outputs/earlyeval_phase1a_same_predictor_transfer/PROTOCOL.md,fold protocol section,no numeric values,none (schematic; no numeric values),schematic only; states the transfer design
FIGURE_1_STUDY_OVERVIEW,C,claim P + S1..S5 (evidence ladder),"0D,0E,1A,1A-D,1B,2A,2B,2B-D,2E",per-phase gate artifacts,"gate strings only (GO, GO_CANDIDATE, SIGNAL_NOT_YET_ROBUST, PARTIAL_PASS, STRONG_TARGET_SPECIFIC_SIGNAL, STRONG_PASS, FEASIBLE, NO_CROSS_BENCHMARK_SIGNAL, NO_CROSS_BENCHMARK_REPLICATION, INSUFFICIENT_CROSS_BENCHMARK_SUPPORT)",phase gate labels,transcribe only,status annotations only; no plotted quantities
FIGURE_2_AGENT_CALIBRATION,A,CLAIM_P (screen); S1 boundary,0D;0E,outputs/earlyeval_phase0d_cross_agent_calibration/analysis/calibration_gaps.csv ; outputs/earlyeval_phase0e_prior_shift_decomposition/analysis/corrected_gaps.csv,"calibration_gap (0D); corrected_gap (0E), joined on model_id+head",claude-4.5-haiku-high/success: raw=0.05180813868840539 corrected=0.03539643386381108,transcribe only; point glyphs at exact signed values; zero reference line allowed,
FIGURE_2_AGENT_CALIBRATION,A,CLAIM_P (screen); S1 boundary,0D;0E,outputs/earlyeval_phase0d_cross_agent_calibration/analysis/calibration_gaps.csv ; outputs/earlyeval_phase0e_prior_shift_decomposition/analysis/corrected_gaps.csv,"calibration_gap (0D); corrected_gap (0E), joined on model_id+head",claude-4.5-opus-high/success: raw=-0.026843768064216622 corrected=-0.02266529065577849,transcribe only; point glyphs at exact signed values; zero reference line allowed,
FIGURE_2_AGENT_CALIBRATION,A,CLAIM_P (screen); S1 boundary,0D;0E,outputs/earlyeval_phase0d_cross_agent_calibration/analysis/calibration_gaps.csv ; outputs/earlyeval_phase0e_prior_shift_decomposition/analysis/corrected_gaps.csv,"calibration_gap (0D); corrected_gap (0E), joined on model_id+head",claude-opus-4.6/success: raw=0.005816074518056991 corrected=0.010322126586370994,transcribe only; point glyphs at exact signed values; zero reference line allowed,
FIGURE_2_AGENT_CALIBRATION,A,CLAIM_P (screen); S1 boundary,0D;0E,outputs/earlyeval_phase0d_cross_agent_calibration/analysis/calibration_gaps.csv ; outputs/earlyeval_phase0e_prior_shift_decomposition/analysis/corrected_gaps.csv,"calibration_gap (0D); corrected_gap (0E), joined on model_id+head",gemini-3-flash-high/success: raw=-0.002621742161837526 corrected=-9.325153971828648e-05,transcribe only; point glyphs at exact signed values; zero reference line allowed,
FIGURE_2_AGENT_CALIBRATION,A,CLAIM_P (screen); S1 boundary,0D;0E,outputs/earlyeval_phase0d_cross_agent_calibration/analysis/calibration_gaps.csv ; outputs/earlyeval_phase0e_prior_shift_decomposition/analysis/corrected_gaps.csv,"calibration_gap (0D); corrected_gap (0E), joined on model_id+head",gemini-3-pro/success: raw=-0.03549391031265259 corrected=0.0,transcribe only; point glyphs at exact signed values; zero reference line allowed,PRIOR_DEGENERATE: held-out success prior is 0 or 1; oracle odds ratio is inf; corrected probabilities sit on the boundary
FIGURE_2_AGENT_CALIBRATION,A,CLAIM_P (screen); S1 boundary,0D;0E,outputs/earlyeval_phase0d_cross_agent_calibration/analysis/calibration_gaps.csv ; outputs/earlyeval_phase0e_prior_shift_decomposition/analysis/corrected_gaps.csv,"calibration_gap (0D); corrected_gap (0E), joined on model_id+head",glm-5-high/success: raw=0.012320962950432612 corrected=0.008772816450522414,transcribe only; point glyphs at exact signed values; zero reference line allowed,
FIGURE_2_AGENT_CALIBRATION,A,CLAIM_P (screen); S1 boundary,0D;0E,outputs/earlyeval_phase0d_cross_agent_calibration/analysis/calibration_gaps.csv ; outputs/earlyeval_phase0e_prior_shift_decomposition/analysis/corrected_gaps.csv,"calibration_gap (0D); corrected_gap (0E), joined on model_id+head",gpt-5-mini/success: raw=0.1863747736240955 corrected=0.14233811033884336,transcribe only; point glyphs at exact signed values; zero reference line allowed,frozen primary target (highlighted)
